Coffee;Drinks;1.99;Americano,Cappuccino,Latte;https://1ty.me/LlzMUqeb6
7up;Drinks;1.99;;https://1ty.me/LlzMUqez6
Pepsi;Drinks;1.99;;https://1ty.me/LpoMUqez6
Lemonade;Drinks;1.50;;https://1ty.me/LlzMUqez6
Brisk;Drinks;1.20;;https://1ty.me/Llpoqez6
Orange Juice;Drinks;1.30;;https://1ty.me/Lsewqeqw9
Donuts;Sweets;0.99;Fritters,Long Johns,Crullers,Old Fashioned,Bear Claws;https://1ty.me/lewodopewk1
Pudding;Sweets;1.99;Regular,Cholocate Fudge,Banana;https://1ty.me/dkslie1
Ice Cream;Sweets;2.99;Chocolate,Vanilla;https://1ty.me/llopdapko1
Hot and Sour Soup;Soup;5.20;;https://1ty.me/sdfawedwe7
Vegatable Noodle Soup;Soup;5.20;;https://1ty.me/fewesd2
Egg Flower Soup;Soup;5.20;;https://1ty.me/waddefe5
Chicken Noodle Soup;Soup;5.20;;https://1ty.me/htdsfr8
